algorithm,epsilon,True Positive Rate,False Positive Rate
laplace,0.5,0.492,0.292
laplace,0.7,0.512,0.289
laplace,1.0,0.525,0.333
laplace,1.5,0.528,0.318
laplace,2.0,0.576,0.343
laplace,2.5,0.572,0.38
laplace,3.0,0.578,0.375
laplace,3.5,0.571,0.373
laplace,5.0,0.592,0.375
laplace,7.0,0.602,0.445
laplace,9.0,0.637,0.431
laplace-optimal-truncated,0.1,0.491,0.281
laplace-optimal-truncated,0.5,0.497,0.292
laplace-optimal-truncated,0.7,0.54,0.32
laplace-optimal-truncated,1.0,0.55,0.292
laplace-optimal-truncated,1.5,0.559,0.312
laplace-optimal-truncated,2.0,0.562,0.322
laplace-optimal-truncated,2.5,0.563,0.368
laplace-optimal-truncated,3.0,0.58,0.405
laplace-optimal-truncated,3.5,0.589,0.386
laplace-optimal-truncated,5.0,0.617,0.405
laplace-optimal-truncated,7.0,0.602,0.451
laplace-optimal-truncated,9.0,0.61,0.477
laplace-truncated,0.5,0.517,0.303
laplace-truncated,0.7,0.537,0.287
laplace-truncated,1.0,0.522,0.295
laplace-truncated,1.5,0.564,0.304
laplace-truncated,2.0,0.586,0.342
laplace-truncated,2.5,0.577,0.327
laplace-truncated,3.0,0.567,0.382
laplace-truncated,3.5,0.572,0.375
laplace-truncated,5.0,0.625,0.409
laplace-truncated,7.0,0.642,0.418
laplace-truncated,9.0,0.634,0.456
piecewise,2.5,0.45,0.236
piecewise,3.0,0.499,0.265
piecewise,3.5,0.513,0.278
piecewise,5.0,0.556,0.247
piecewise,7.0,0.628,0.304
piecewise,9.0,0.635,0.332
