,type,dimensions,ari,ami,ch,sc
0,nd-laplace-truncated,2,0.8326215673441265,0.7887570843886457,1768.409273092273,0.37116534224227055
1,nd-laplace-truncated,3,0.8368311630010743,0.7780473790985564,1527.4858666651812,0.41096482958626473
2,nd-laplace-truncated,4,0.7629378195916015,0.7170841705648735,749.5537200093004,0.2803571059817969
3,nd-laplace-truncated,5,0.754950772036799,0.7234089618988435,590.2088602876013,0.2727733301487386
4,nd-laplace-truncated,6,0.6660981516622068,0.6829667974508674,536.082081049792,0.24061895839763237
5,nd-laplace-truncated,7,0.7523760255812643,0.7499611734253494,594.5416563502249,0.24645804005730249
6,nd-laplace-truncated,8,0.7477827589995346,0.7577294304458437,533.1218494800611,0.21590451451386822
7,nd-laplace-truncated,9,0.6351470292408047,0.6647817483441925,543.405462005328,0.21189688650712557
8,nd-laplace,2,0.8379772013086544,0.7923702026778965,1726.3778786515472,0.3669691309778277
9,nd-laplace,3,0.8406287482744845,0.7885399833105705,1518.0242813695513,0.4111144140336395
10,nd-laplace,4,0.8004160543704055,0.7404119498315149,739.109449317122,0.2774301422113082
11,nd-laplace,5,0.6553838692411454,0.6541723243999554,588.1512554071772,0.2641821742095886
12,nd-laplace,6,0.8103318389771632,0.7730114944765912,564.9657702631412,0.2559711713408976
13,nd-laplace,7,0.6302846984850359,0.6744462823190673,590.099025870769,0.2400203104849481
14,nd-laplace,8,0.5719720983646253,0.619609926432555,543.5219368414531,0.2273872661933729
15,nd-laplace,9,0.6996825216375382,0.7131373202129313,541.3449074219792,0.20319480137592424
16,nd-piecewise,2,0.17834484316099114,0.16549022023411328,1784.2263743571232,0.3601427662098704
17,nd-piecewise,3,0.17557673174982252,0.11849191284884383,1352.3119965906967,0.3704604297098598
18,nd-piecewise,4,0.04406573359168835,0.02552913939306911,735.6949141699437,0.34828525585536374
19,nd-piecewise,5,0.073707204504869,0.03911549104167181,499.66796932848877,0.28239245701004145
20,nd-piecewise,6,0.1409339717042851,0.09716665937736413,387.79178685344925,0.1946913811262278
21,nd-piecewise,7,0.19905511013360477,0.15066132649182937,354.10225208048644,0.19008050406090732
22,nd-piecewise,8,0.15216466659199093,0.12246316880343655,294.66494907566283,0.1645646218058128
23,nd-piecewise,9,0.16890848442828768,0.14203901080533557,262.9497080465059,0.15225733809701952
