epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.1,-0.005646190949070817,0.49718218118999746,[0.         0.49811321 1.        ],[0.        0.5037594 1.       ],0,4,nd-laplace-optimal-truncated
0.1,-0.0021705206412256928,0.49871938664479304,[0.         0.42264151 1.        ],[0.         0.42481203 1.        ],1,4,nd-laplace-optimal-truncated
0.1,0.1598240885231948,0.5922142553121827,[0.         0.51320755 1.        ],[0.         0.35338346 1.        ],2,4,nd-laplace-optimal-truncated
0.1,0.06510143282735137,0.5572208783261428,[0.         0.31698113 1.        ],[0.        0.2518797 1.       ],3,4,nd-laplace-optimal-truncated
0.1,0.18588452262732302,0.6318925774565659,[0.         0.44528302 1.        ],[0.        0.2593985 1.       ],4,4,nd-laplace-optimal-truncated
0.5,0.11454106965527028,0.5697308874840225,[0.         0.46792453 1.        ],[0.         0.35338346 1.        ],0,4,nd-laplace-optimal-truncated
0.5,0.09604199177188255,0.5481028847520251,[0.         0.54716981 1.        ],[0.         0.45112782 1.        ],1,4,nd-laplace-optimal-truncated
0.5,0.15614980848347282,0.5852766629995196,[0.         0.53584906 1.        ],[0.         0.37969925 1.        ],2,4,nd-laplace-optimal-truncated
0.5,0.15985246134203435,0.5906545665186329,[0.         0.52075472 1.        ],[0.         0.36090226 1.        ],3,4,nd-laplace-optimal-truncated
0.5,0.3181869768761526,0.6661924450569807,[0.         0.63773585 1.        ],[0.         0.31954887 1.        ],4,4,nd-laplace-optimal-truncated
0.7,0.22766349836856292,0.6279989790709546,[0.         0.55849057 1.        ],[0.         0.33082707 1.        ],0,4,nd-laplace-optimal-truncated
0.7,0.11119307703220316,0.5532776856358248,[0.         0.57735849 1.        ],[0.         0.46616541 1.        ],1,4,nd-laplace-optimal-truncated
0.7,0.17142857142857143,0.5833333333333334,[0.  0.6 1. ],[0.         0.42857143 1.        ],2,4,nd-laplace-optimal-truncated
0.7,0.29907788338771457,0.6845348552221561,[0.         0.55471698 1.        ],[0.        0.2556391 1.       ],3,4,nd-laplace-optimal-truncated
0.7,0.14873031635693007,0.5762095836240986,[0.         0.56226415 1.        ],[0.         0.41353383 1.        ],4,4,nd-laplace-optimal-truncated
1.0,0.11083841679670875,0.5648026806894149,[0.         0.48301887 1.        ],[0.         0.37218045 1.        ],0,4,nd-laplace-optimal-truncated
1.0,0.3032203149382891,0.6501109644071129,[0.         0.65660377 1.        ],[0.         0.35338346 1.        ],1,4,nd-laplace-optimal-truncated
1.0,0.11847070506454815,0.5652411681067483,[0.         0.51320755 1.        ],[0.         0.39473684 1.        ],2,4,nd-laplace-optimal-truncated
1.0,0.22028656547027947,0.6132967546112538,[0.         0.59622642 1.        ],[0.         0.37593985 1.        ],3,4,nd-laplace-optimal-truncated
1.0,0.22794722655695843,0.6095924046488788,[0.         0.63396226 1.        ],[0.         0.40601504 1.        ],4,4,nd-laplace-optimal-truncated
1.5,0.13403319619804221,0.557199593161234,[0.         0.65283019 1.        ],[0.         0.51879699 1.        ],0,4,nd-laplace-optimal-truncated
1.5,0.22438643779259465,0.5976273655363117,[0.         0.68679245 1.        ],[0.         0.46240602 1.        ],1,4,nd-laplace-optimal-truncated
1.5,0.09222584763796282,0.5474449358497175,[0.         0.53207547 1.        ],[0.         0.43984962 1.        ],2,4,nd-laplace-optimal-truncated
1.5,0.1941693857284721,0.5879435084878626,[0.        0.6490566 1.       ],[0.         0.45488722 1.        ],3,4,nd-laplace-optimal-truncated
1.5,0.10729181444176478,0.5551939048063871,[0.         0.53962264 1.        ],[0.         0.43233083 1.        ],4,4,nd-laplace-optimal-truncated
2.0,0.03584905660377358,0.5173041894353371,[0.         0.53584906 1.        ],[0.  0.5 1. ],0,4,nd-laplace-optimal-truncated
2.0,0.21295219180025532,0.5988072826845354,[0.         0.64528302 1.        ],[0.         0.43233083 1.        ],1,4,nd-laplace-optimal-truncated
2.0,0.24326854873031634,0.603465752763431,[0.         0.70943396 1.        ],[0.         0.46616541 1.        ],2,4,nd-laplace-optimal-truncated
2.0,0.047481912327989706,0.519573786214721,[0.         0.63018868 1.        ],[0.         0.58270677 1.        ],3,4,nd-laplace-optimal-truncated
2.0,0.22803234501347708,0.6050670640834576,[0.         0.65660377 1.        ],[0.         0.42857143 1.        ],4,4,nd-laplace-optimal-truncated
2.5,0.1114626188111788,0.5469652229010007,[0.        0.6490566 1.       ],[0.         0.53759398 1.        ],0,4,nd-laplace-optimal-truncated
2.5,0.16006525748333095,0.5804629669248214,[0.         0.57735849 1.        ],[0.         0.41729323 1.        ],1,4,nd-laplace-optimal-truncated
2.5,0.18633848772875583,0.5985149628740718,[0.         0.56603774 1.        ],[0.         0.37969925 1.        ],2,4,nd-laplace-optimal-truncated
2.5,0.19388565754007658,0.6016935279848803,[0.         0.57358491 1.        ],[0.         0.37969925 1.        ],3,4,nd-laplace-optimal-truncated
2.5,0.20558944531139167,0.5880095224214158,[0.         0.68679245 1.        ],[0.         0.48120301 1.        ],4,4,nd-laplace-optimal-truncated
3.0,0.2059299191374664,0.5763389288569145,[0.         0.77735849 1.        ],[0.         0.57142857 1.        ],0,4,nd-laplace-optimal-truncated
3.0,0.25807916016456234,0.6240724574421649,[0.        0.6490566 1.       ],[0.         0.39097744 1.        ],1,4,nd-laplace-optimal-truncated
3.0,0.17172648602638663,0.57235072619688,[0.         0.67924528 1.        ],[0.        0.5075188 1.       ],2,4,nd-laplace-optimal-truncated
3.0,0.15641935026244858,0.5738750569506607,[0.         0.60754717 1.        ],[0.         0.45112782 1.        ],3,4,nd-laplace-optimal-truncated
3.0,0.2393530997304582,0.6091445427728613,[0.         0.66792453 1.        ],[0.         0.42857143 1.        ],4,4,nd-laplace-optimal-truncated
3.5,0.24688608313235916,0.6125781118600649,[0.         0.67169811 1.        ],[0.         0.42481203 1.        ],0,4,nd-laplace-optimal-truncated
3.5,0.23567881969073623,0.6028757910902492,[0.         0.69056604 1.        ],[0.         0.45488722 1.        ],1,4,nd-laplace-optimal-truncated
3.5,0.20165980990211374,0.5932436864545754,[0.         0.64150943 1.        ],[0.         0.43984962 1.        ],2,4,nd-laplace-optimal-truncated
3.5,0.11879699248120301,0.5549374130737135,[0.  0.6 1. ],[0.         0.48120301 1.        ],3,4,nd-laplace-optimal-truncated
3.5,0.035919988650872425,0.5167300983190611,[0.         0.55471698 1.        ],[0.         0.51879699 1.        ],4,4,nd-laplace-optimal-truncated
5.0,0.07744360902255631,0.5344943067649028,[0.  0.6 1. ],[0.         0.52255639 1.        ],0,4,nd-laplace-optimal-truncated
5.0,0.11868350120584481,0.5581246699830477,[0.         0.56981132 1.        ],[0.         0.45112782 1.        ],1,4,nd-laplace-optimal-truncated
5.0,0.22064122570577382,0.5950637507181888,[0.         0.69056604 1.        ],[0.         0.46992481 1.        ],2,4,nd-laplace-optimal-truncated
5.0,0.08493403319619797,0.5386073745437662,[0.         0.59245283 1.        ],[0.        0.5075188 1.       ],3,4,nd-laplace-optimal-truncated
5.0,0.21293800539083557,0.5994962216624685,[0.         0.64150943 1.        ],[0.         0.42857143 1.        ],4,4,nd-laplace-optimal-truncated
7.0,0.1867640800113491,0.5796961075125613,[0.         0.67924528 1.        ],[0.        0.4924812 1.       ],0,4,nd-laplace-optimal-truncated
7.0,0.23897006667612425,0.6337860376459375,[0.         0.56603774 1.        ],[0.         0.32706767 1.        ],1,4,nd-laplace-optimal-truncated
7.0,0.231834302737977,0.6049960165505898,[0.         0.66792453 1.        ],[0.         0.43609023 1.        ],2,4,nd-laplace-optimal-truncated
7.0,-0.03566463328131653,0.4832100018700077,[0.         0.51320755 1.        ],[0.         0.54887218 1.        ],3,4,nd-laplace-optimal-truncated
7.0,0.21332103844516948,0.5837557231499326,[0.         0.74339623 1.        ],[0.         0.53007519 1.        ],4,4,nd-laplace-optimal-truncated
9.0,0.0962547879131791,0.5433075892002297,[0.         0.60377358 1.        ],[0.        0.5075188 1.       ],0,4,nd-laplace-optimal-truncated
9.0,0.13773584905660374,0.5605306799336649,[0.         0.63773585 1.        ],[0.  0.5 1. ],1,4,nd-laplace-optimal-truncated
