epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.1,0.2692307692307693,0.7058823529411765,[0.         0.46153846 1.        ],[0.         0.19230769 1.        ],0,2,nd-laplace-optimal-truncated
0.1,0.1538461538461538,0.5526315789473684,[0.         0.80769231 1.        ],[0.         0.65384615 1.        ],1,2,nd-laplace-optimal-truncated
0.1,0.1923076923076923,0.5862068965517241,[0.         0.65384615 1.        ],[0.         0.46153846 1.        ],2,2,nd-laplace-optimal-truncated
0.1,0.4230769230769231,0.8666666666666667,[0.  0.5 1. ],[0.         0.07692308 1.        ],3,2,nd-laplace-optimal-truncated
0.1,0.0,0.5,[0.         0.69230769 1.        ],[0.         0.69230769 1.        ],4,2,nd-laplace-optimal-truncated
0.1,0.3846153846153846,0.6785714285714286,[0.         0.73076923 1.        ],[0.         0.34615385 1.        ],5,2,nd-laplace-optimal-truncated
0.1,0.576923076923077,0.9411764705882352,[0.         0.61538462 1.        ],[0.         0.03846154 1.        ],6,2,nd-laplace-optimal-truncated
0.1,0.5769230769230769,0.894736842105263,[0.         0.65384615 1.        ],[0.         0.07692308 1.        ],7,2,nd-laplace-optimal-truncated
0.1,0.3076923076923077,0.75,[0.         0.46153846 1.        ],[0.         0.15384615 1.        ],8,2,nd-laplace-optimal-truncated
0.1,0.2692307692307692,0.7333333333333334,[0.         0.42307692 1.        ],[0.         0.15384615 1.        ],9,2,nd-laplace-optimal-truncated
0.5,0.0769230769230769,0.53125,[0.         0.65384615 1.        ],[0.         0.57692308 1.        ],0,2,nd-laplace-optimal-truncated
0.5,0.2307692307692308,0.5833333333333334,[0.         0.80769231 1.        ],[0.         0.57692308 1.        ],1,2,nd-laplace-optimal-truncated
0.5,0.3461538461538461,0.6799999999999999,[0.         0.65384615 1.        ],[0.         0.30769231 1.        ],2,2,nd-laplace-optimal-truncated
0.5,0.3076923076923077,0.6538461538461539,[0.         0.65384615 1.        ],[0.         0.34615385 1.        ],3,2,nd-laplace-optimal-truncated
0.5,0.3846153846153846,0.7083333333333333,[0.         0.65384615 1.        ],[0.         0.26923077 1.        ],4,2,nd-laplace-optimal-truncated
0.5,0.2307692307692307,0.6071428571428572,[0.         0.65384615 1.        ],[0.         0.42307692 1.        ],5,2,nd-laplace-optimal-truncated
0.5,0.1923076923076924,0.558139534883721,[0.         0.92307692 1.        ],[0.         0.73076923 1.        ],6,2,nd-laplace-optimal-truncated
0.5,0.0384615384615384,0.5263157894736842,[0.         0.38461538 1.        ],[0.         0.34615385 1.        ],7,2,nd-laplace-optimal-truncated
0.5,0.6153846153846154,0.7666666666666667,[0.         0.88461538 1.        ],[0.         0.26923077 1.        ],8,2,nd-laplace-optimal-truncated
0.5,0.3076923076923076,0.6333333333333333,[0.         0.73076923 1.        ],[0.         0.42307692 1.        ],9,2,nd-laplace-optimal-truncated
0.7,0.1538461538461538,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],0,2,nd-laplace-optimal-truncated
0.7,0.1538461538461538,0.6111111111111112,[0.         0.42307692 1.        ],[0.         0.26923077 1.        ],1,2,nd-laplace-optimal-truncated
0.7,0.3461538461538461,0.6285714285714286,[0.         0.84615385 1.        ],[0.  0.5 1. ],2,2,nd-laplace-optimal-truncated
0.7,-0.0769230769230768,0.4615384615384615,[0.         0.46153846 1.        ],[0.         0.53846154 1.        ],3,2,nd-laplace-optimal-truncated
