type,epsilon,ari,ami,ch,sc
KMeans(clusters=4),0.1,0.4593103786774494,0.470040902111249,455.03963590778824,0.21981683797670745
OPTICS(min_samples=18),0.1,0.018083185393792254,0.02274333198439227,23.859222202474324,-0.13987825334542953
KMeans(clusters=4),0.5,0.5530946686813137,0.5535983190488459,487.3519752337161,0.19496365650417777
OPTICS(min_samples=18),0.5,0.05008139681024805,0.037168208997994286,20.21264878680747,-0.24367219066159537
KMeans(clusters=4),0.7,0.5507585306109177,0.5704632840039546,489.16844691320074,0.19056647578685232
OPTICS(min_samples=18),0.7,-0.020943243973971855,-0.001843331671838459,17.84848448742424,-0.27161930361394543
KMeans(clusters=4),1.0,0.6344158632393307,0.6208494081756624,502.2243642616897,0.1871887127676948
OPTICS(min_samples=18),1.0,0.034688877273303394,0.025449537084609796,14.286616367499963,-0.24457993868865766
KMeans(clusters=4),1.5,0.575009340110889,0.5891879378663374,508.60707653418996,0.18856008193473733
OPTICS(min_samples=18),1.5,-0.010091319977939524,0.00048425800450229204,18.589150689428948,-0.19720060172647172
KMeans(clusters=4),2.0,0.6264338268047581,0.6317133865747123,513.9241179389564,0.19741719808280447
OPTICS(min_samples=18),2.0,-0.011255041182505417,0.00044545105315560457,22.16190895827426,-0.19864499913505854
KMeans(clusters=4),2.5,0.5938563238659755,0.6033153572135411,520.0631930944485,0.20783661988283536
OPTICS(min_samples=18),2.5,-0.020863081306470143,-0.0011643119643456115,22.732483289484723,-0.17619848876750727
KMeans(clusters=4),3.0,0.496134039594691,0.5365522470712566,518.5199288097263,0.20498927621416266
OPTICS(min_samples=18),3.0,-0.02091879354907283,-0.0011631381324400708,22.215550608500273,-0.20474467976473357
KMeans(clusters=4),3.5,0.6495263337400773,0.6475495262155874,511.91247480527653,0.19636783853296505
OPTICS(min_samples=18),3.5,-0.02084060690420713,-0.001090828677820701,23.323101647830264,-0.14109474514357595
KMeans(clusters=4),5.0,0.5824099738445063,0.5959061415971472,510.35140047057274,0.20296646081867742
OPTICS(min_samples=18),5.0,-0.020887217015745228,-0.0007475643396181073,27.382446787491762,-0.1602460216298398
KMeans(clusters=4),7.0,0.6244331688040003,0.638117260348563,511.29764400207205,0.20572716004318709
OPTICS(min_samples=18),7.0,-0.02092209604581401,-0.0011818520376951414,22.436750464415706,-0.23918296126435035
KMeans(clusters=4),9.0,0.6483816919384491,0.6522349913084142,520.3366130835797,0.19712491152622755
OPTICS(min_samples=18),9.0,0.06109741424997114,0.06206864877127609,18.40623015598948,-0.22766687619638537
