epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.32580507873457226,0.6624968160076983,[0.         0.66415094 1.        ],[0.         0.33834586 1.        ],0
0.1,0.3973755142573414,0.6974246204592549,[0.         0.70188679 1.        ],[0.         0.30451128 1.        ],1
0.1,0.5737835153922541,0.922491956712489,[0.         0.62641509 1.        ],[0.         0.05263158 1.        ],2
0.1,0.42367711732160585,0.717817810517103,[0.         0.69811321 1.        ],[0.         0.27443609 1.        ],3
0.1,0.20133352248545894,0.6108542148347185,[0.         0.55471698 1.        ],[0.         0.35338346 1.        ],4
0.1,0.24264434671584623,0.6437214304920678,[0.         0.54339623 1.        ],[0.         0.30075188 1.        ],5
0.1,0.5100439778692013,0.8060194406142008,[0.         0.67169811 1.        ],[0.         0.16165414 1.        ],6
0.1,0.3333380621364732,0.6662515742850269,[0.         0.66792453 1.        ],[0.         0.33458647 1.        ],7
0.1,0.3819407008086253,0.7356168939142002,[0.         0.59622642 1.        ],[0.         0.21428571 1.        ],8
0.1,0.3442474109802809,0.7164056647522563,[0.         0.56981132 1.        ],[0.         0.22556391 1.        ],9
0.5,0.25802241452688324,0.627746249367871,[0.         0.63396226 1.        ],[0.         0.37593985 1.        ],0
0.5,0.31088097602496806,0.6442203911864585,[0.         0.69433962 1.        ],[0.         0.38345865 1.        ],1
0.5,0.2881117889062278,0.6459000847713329,[0.         0.63773585 1.        ],[0.         0.34962406 1.        ],2
0.5,0.329365867498936,0.6843584734861117,[0.         0.61132075 1.        ],[0.         0.28195489 1.        ],3
0.5,0.22394665910058165,0.6222848820995879,[0.         0.56981132 1.        ],[0.         0.34586466 1.        ],4
0.5,0.20150375939849624,0.6009036144578314,[0.  0.6 1. ],[0.         0.39849624 1.        ],5
0.5,0.3141722230103561,0.6903035094352593,[0.         0.56981132 1.        ],[0.        0.2556391 1.       ],6
0.5,0.280947652149241,0.6187233226224161,[0.         0.73207547 1.        ],[0.         0.45112782 1.        ],7
0.5,0.3294793587742942,0.6727664955739046,[0.         0.64150943 1.        ],[0.         0.31203008 1.        ],8
0.5,0.25807916016456234,0.6240724574421649,[0.        0.6490566 1.       ],[0.         0.39097744 1.        ],9
0.7,0.32591857000993046,0.6533358250794244,[0.         0.69433962 1.        ],[0.         0.36842105 1.        ],0
0.7,0.25043268548730313,0.6278035996119485,[0.         0.61509434 1.        ],[0.         0.36466165 1.        ],1
0.7,0.21292381898141577,0.600194929171284,[0.         0.63773585 1.        ],[0.         0.42481203 1.        ],2
0.7,0.21676833593417505,0.5981752762785916,[0.         0.66037736 1.        ],[0.         0.44360902 1.        ],3
0.7,0.31442757837991203,0.66358644307983,[0.         0.63773585 1.        ],[0.         0.32330827 1.        ],4
0.7,0.35580933465739817,0.6903218952512482,[0.         0.64528302 1.        ],[0.         0.28947368 1.        ],5
0.7,0.27328699106256205,0.6225071225071226,[0.         0.69433962 1.        ],[0.         0.42105263 1.        ],6
0.7,0.27311675414952474,0.6332281459336766,[0.        0.6490566 1.       ],[0.         0.37593985 1.        ],7
0.7,0.1941268265002128,0.5897617548278757,[0.         0.63773585 1.        ],[0.         0.44360902 1.        ],8
0.7,0.3295361044119733,0.6675031367628608,[0.         0.65660377 1.        ],[0.         0.32706767 1.        ],9
1.0,0.2731876861966236,0.6285393888421643,[0.         0.66792453 1.        ],[0.         0.39473684 1.        ],0
1.0,0.26934316924386437,0.6318728641680327,[0.         0.64528302 1.        ],[0.         0.37593985 1.        ],1
1.0,0.24308412540785923,0.6127822023300205,[0.         0.66037736 1.        ],[0.         0.41729323 1.        ],2
1.0,0.3708469286423606,0.7016087982600916,[0.         0.64528302 1.        ],[0.         0.27443609 1.        ],3
1.0,0.23584905660377353,0.5954198473282442,[0.         0.73584906 1.        ],[0.  0.5 1. ],4
1.0,0.2769896439211235,0.6280579786187446,[0.         0.67924528 1.        ],[0.         0.40225564 1.        ],5
1.0,0.24294226131366148,0.6211874601938998,[0.         0.62264151 1.        ],[0.         0.37969925 1.        ],6
1.0,0.22813164987941548,0.600241862088741,[0.         0.68301887 1.        ],[0.         0.45488722 1.        ],7
1.0,0.32183288409703503,0.68014484007242,[0.         0.60754717 1.        ],[0.         0.28571429 1.        ],8
1.0,0.23533834586466162,0.6219797349961028,[0.  0.6 1. ],[0.         0.36466165 1.        ],9
1.5,0.28855156759824097,0.6181733674180804,[0.         0.75471698 1.        ],[0.         0.46616541 1.        ],0
1.5,0.28442332245708607,0.6382327390063294,[0.         0.65660377 1.        ],[0.         0.37218045 1.        ],1
1.5,0.30324868775712865,0.6479185119574846,[0.         0.66415094 1.        ],[0.         0.36090226 1.        ],2
1.5,0.2997020854021847,0.6312402156896851,[0.         0.72075472 1.        ],[0.         0.42105263 1.        ],3
1.5,0.29950347567030783,0.6444998083556919,[0.         0.66792453 1.        ],[0.         0.36842105 1.        ],4
1.5,0.2016881827209533,0.5919753645503125,[0.        0.6490566 1.       ],[0.         0.44736842 1.        ],5
1.5,0.34478649453823235,0.6593830334190232,[0.         0.71320755 1.        ],[0.         0.36842105 1.        ],6
1.5,0.2955170946233508,0.6606809521605652,[0.         0.60754717 1.        ],[0.         0.31203008 1.        ],7
1.5,0.3072208823946659,0.6354244834659062,[0.         0.72075472 1.        ],[0.         0.41353383 1.        ],8
1.5,0.20923535253227404,0.5947647746694252,[0.         0.65660377 1.        ],[0.         0.44736842 1.        ],9
2.0,0.2543339480777415,0.62095860096076,[0.         0.65283019 1.        ],[0.         0.39849624 1.        ],0
2.0,0.32217335792310964,0.6499801875577863,[0.         0.69811321 1.        ],[0.         0.37593985 1.        ],1
2.0,0.18642360618527448,0.5940645087400324,[0.         0.58867925 1.        ],[0.         0.40225564 1.        ],2
2.0,0.24349553128103285,0.5939319644498927,[0.         0.76981132 1.        ],[0.         0.52631579 1.        ],3
2.0,0.2320470988792736,0.5953349575110447,[0.        0.7245283 1.       ],[0.        0.4924812 1.       ],4
2.0,0.24302737977018013,0.6159992416137375,[0.         0.64528302 1.        ],[0.         0.40225564 1.        ],5
2.0,0.26945666051922257,0.624576960411365,[0.        0.6754717 1.       ],[0.         0.40601504 1.        ],6
2.0,0.1976450560363172,0.6040757784019603,[0.         0.57358491 1.        ],[0.         0.37593985 1.        ],7
2.0,0.2579372960703646,0.633687244492809,[0.         0.61132075 1.        ],[0.         0.35338346 1.        ],8
2.0,0.3072634416229252,0.6327974591963114,[0.         0.73207547 1.        ],[0.         0.42481203 1.        ],9
2.5,0.26192367711732156,0.6210958508782285,[0.         0.67169811 1.        ],[0.         0.40977444 1.        ],0
2.5,0.3301035607887644,0.6284458870157542,[0.         0.80754717 1.        ],[0.         0.47744361 1.        ],1
2.5,0.2733579231096609,0.6185361532499168,[0.         0.71320755 1.        ],[0.         0.43984962 1.        ],2
2.5,0.23201872606043406,0.5965181469460018,[0.         0.71698113 1.        ],[0.         0.48496241 1.        ],3
2.5,0.30329124698538795,0.6447480670015843,[0.        0.6754717 1.       ],[0.         0.37218045 1.        ],4
2.5,0.2770038303305433,0.6271786989031602,[0.         0.68301887 1.        ],[0.         0.40601504 1.        ],5
2.5,0.2318910483756561,0.60223150626673,[0.         0.68301887 1.        ],[0.         0.45112782 1.        ],6
2.5,0.2093772166264718,0.5887716681302554,[0.         0.69433962 1.        ],[0.         0.48496241 1.        ],7
2.5,0.2653851610157469,0.644306277674067,[0.         0.59245283 1.        ],[0.         0.32706767 1.        ],8
2.5,0.3032203149382891,0.6501109644071129,[0.         0.65660377 1.        ],[0.         0.35338346 1.        ],9
3.0,0.2315931337778408,0.618649611163602,[0.         0.60377358 1.        ],[0.         0.37218045 1.        ],0
3.0,0.26957015179458077,0.6180512412713401,[0.         0.70566038 1.        ],[0.         0.43609023 1.        ],1
3.0,0.32227266278904804,0.643005527087766,[0.        0.7245283 1.       ],[0.         0.40225564 1.        ],2
3.0,0.21688182720953325,0.5931422722620265,[0.         0.69056604 1.        ],[0.         0.47368421 1.        ],3
3.0,0.1867640800113491,0.5796961075125613,[0.         0.67924528 1.        ],[0.        0.4924812 1.       ],4
3.0,0.33353667186835007,0.6505166387114122,[0.         0.72075472 1.        ],[0.         0.38721805 1.        ],5
3.0,0.2507447864945382,0.6094495015171218,[0.         0.69811321 1.        ],[0.         0.44736842 1.        ],6
3.0,0.3336359767342885,0.6437214304920678,[0.         0.74716981 1.        ],[0.         0.41353383 1.        ],7
3.0,0.20556107249255212,0.5891472868217054,[0.         0.67924528 1.        ],[0.         0.47368421 1.        ],8
3.0,0.2545041849907788,0.6114562624254473,[0.         0.69811321 1.        ],[0.         0.44360902 1.        ],9
3.5,0.28855156759824097,0.6181733674180804,[0.         0.75471698 1.        ],[0.         0.46616541 1.        ],0
3.5,0.32234359483614694,0.6384103701176871,[0.         0.74339623 1.        ],[0.         0.42105263 1.        ],1
3.5,0.26957015179458077,0.6180512412713401,[0.         0.70566038 1.        ],[0.         0.43609023 1.        ],2
3.5,0.29988650872464184,0.620947716531829,[0.         0.76981132 1.        ],[0.         0.46992481 1.        ],3
3.5,0.26966945666051917,0.6128813881400016,[0.         0.73207547 1.        ],[0.         0.46240602 1.        ],4
3.5,0.2659668038019577,0.6082598050538182,[0.         0.74716981 1.        ],[0.         0.48120301 1.        ],5
3.5,0.31876861966236353,0.6258823529411766,[0.         0.79245283 1.        ],[0.         0.47368421 1.        ],6
3.5,0.2883955170946233,0.6267093830638627,[0.         0.71320755 1.        ],[0.         0.42481203 1.        ],7
3.5,0.20549014044545322,0.5921261845703746,[0.         0.66037736 1.        ],[0.         0.45488722 1.        ],8
3.5,0.3410270960419917,0.6570991648041407,[0.         0.71320755 1.        ],[0.         0.37218045 1.        ],9
5.0,0.26181018584196336,0.6281864277279989,[0.         0.64150943 1.        ],[0.         0.37969925 1.        ],0
5.0,0.22058448006809472,0.597572760702318,[0.        0.6754717 1.       ],[0.         0.45488722 1.        ],1
5.0,0.23925379486451975,0.6146109412164458,[0.         0.64150943 1.        ],[0.         0.40225564 1.        ],2
5.0,0.26236345580933473,0.5997583446609275,[0.         0.78867925 1.        ],[0.         0.52631579 1.        ],3
5.0,0.24288551567598238,0.6249142723730866,[0.         0.60754717 1.        ],[0.         0.36466165 1.        ],4
5.0,0.24716981132075466,0.5990922844175492,[0.         0.74716981 1.        ],[0.  0.5 1. ],5
5.0,0.2923535253227409,0.6179109259852612,[0.         0.76603774 1.        ],[0.         0.47368421 1.        ],6
5.0,0.2505319903532416,0.6213245397087112,[0.         0.64150943 1.        ],[0.         0.39097744 1.        ],7
5.0,0.2658533125265995,0.6137964537284429,[0.         0.71698113 1.        ],[0.         0.45112782 1.        ],8
5.0,0.25451837140019856,0.6107318759180852,[0.         0.70188679 1.        ],[0.         0.44736842 1.        ],9
7.0,0.3112498226698823,0.6221875696146135,[0.         0.79245283 1.        ],[0.         0.48120301 1.        ],0
