epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.34615384615384615,0.9090909090909091,[0.         0.38461538 1.        ],[0.         0.03846154 1.        ],0
0.1,-0.07692307692307693,0.4,[0.         0.15384615 1.        ],[0.         0.23076923 1.        ],1
0.1,-0.2692307692307693,0.29411764705882354,[0.         0.19230769 1.        ],[0.         0.46153846 1.        ],2
0.1,0.2692307692307692,0.8181818181818181,[0.         0.34615385 1.        ],[0.         0.07692308 1.        ],3
0.1,0.11538461538461542,0.5483870967741936,[0.         0.65384615 1.        ],[0.         0.53846154 1.        ],4
0.1,0.2692307692307693,0.888888888888889,[0.         0.30769231 1.        ],[0.         0.03846154 1.        ],5
0.1,0.11538461538461539,1.0,[0.         0.11538462 1.        ],[0. 0. 1.],6
0.1,0.30769230769230765,0.7000000000000001,[0.         0.53846154 1.        ],[0.         0.23076923 1.        ],7
0.1,0.5769230769230769,0.8571428571428571,[0.         0.69230769 1.        ],[0.         0.11538462 1.        ],8
0.1,0.23076923076923078,0.65,[0.  0.5 1. ],[0.         0.26923077 1.        ],9
0.5,0.19230769230769235,0.631578947368421,[0.         0.46153846 1.        ],[0.         0.26923077 1.        ],0
0.5,0.2692307692307692,0.6666666666666666,[0.         0.53846154 1.        ],[0.         0.26923077 1.        ],1
0.5,0.34615384615384615,0.7368421052631579,[0.         0.53846154 1.        ],[0.         0.19230769 1.        ],2
0.5,0.15384615384615383,0.6428571428571429,[0.         0.34615385 1.        ],[0.         0.19230769 1.        ],3
0.5,0.07692307692307687,0.5357142857142857,[0.         0.57692308 1.        ],[0.  0.5 1. ],4
0.5,0.26923076923076916,0.6521739130434783,[0.         0.57692308 1.        ],[0.         0.30769231 1.        ],5
0.5,0.423076923076923,0.7894736842105263,[0.         0.57692308 1.        ],[0.         0.15384615 1.        ],6
0.5,0.0,0.5,[0.         0.42307692 1.        ],[0.         0.42307692 1.        ],7
0.5,0.11538461538461542,0.5882352941176471,[0.         0.38461538 1.        ],[0.         0.26923077 1.        ],8
0.5,0.11538461538461536,0.5789473684210525,[0.         0.42307692 1.        ],[0.         0.30769231 1.        ],9
0.7,0.4230769230769231,0.7391304347826088,[0.         0.65384615 1.        ],[0.         0.23076923 1.        ],0
0.7,0.15384615384615385,0.625,[0.         0.38461538 1.        ],[0.         0.23076923 1.        ],1
0.7,0.1923076923076923,0.5806451612903226,[0.         0.69230769 1.        ],[0.  0.5 1. ],2
0.7,0.0,0.5,[0.         0.42307692 1.        ],[0.         0.42307692 1.        ],3
0.7,0.23076923076923075,0.7499999999999999,[0.         0.34615385 1.        ],[0.         0.11538462 1.        ],4
0.7,0.4230769230769231,0.7391304347826088,[0.         0.65384615 1.        ],[0.         0.23076923 1.        ],5
0.7,0.11538461538461536,0.5652173913043479,[0.  0.5 1. ],[0.         0.38461538 1.        ],6
0.7,0.3846153846153846,0.6923076923076923,[0.         0.69230769 1.        ],[0.         0.30769231 1.        ],7
0.7,0.038461538461538436,0.5384615384615384,[0.         0.26923077 1.        ],[0.         0.23076923 1.        ],8
0.7,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],9
1.0,0.15384615384615385,0.6111111111111112,[0.         0.42307692 1.        ],[0.         0.26923077 1.        ],0
1.0,0.0,0.5,[0.         0.46153846 1.        ],[0.         0.46153846 1.        ],1
1.0,0.23076923076923078,0.7142857142857142,[0.         0.38461538 1.        ],[0.         0.15384615 1.        ],2
1.0,0.38461538461538464,0.7272727272727272,[0.         0.61538462 1.        ],[0.         0.23076923 1.        ],3
1.0,0.15384615384615385,0.6111111111111112,[0.         0.42307692 1.        ],[0.         0.26923077 1.        ],4
1.0,0.11538461538461536,0.56,[0.         0.53846154 1.        ],[0.         0.42307692 1.        ],5
1.0,0.1923076923076923,0.6086956521739131,[0.         0.53846154 1.        ],[0.         0.34615385 1.        ],6
1.0,0.4230769230769231,0.7391304347826088,[0.         0.65384615 1.        ],[0.         0.23076923 1.        ],7
1.0,0.15384615384615385,0.6,[0.         0.46153846 1.        ],[0.         0.30769231 1.        ],8
1.0,0.11538461538461536,0.56,[0.         0.53846154 1.        ],[0.         0.42307692 1.        ],9
1.5,0.15384615384615385,0.6111111111111112,[0.         0.42307692 1.        ],[0.         0.26923077 1.        ],0
1.5,-0.23076923076923078,0.33333333333333337,[0.         0.23076923 1.        ],[0.         0.46153846 1.        ],1
1.5,0.03846153846153849,0.5217391304347827,[0.         0.46153846 1.        ],[0.         0.42307692 1.        ],2
1.5,0.3846153846153846,0.6785714285714286,[0.         0.73076923 1.        ],[0.         0.34615385 1.        ],3
1.5,0.19230769230769235,0.5925925925925926,[0.         0.61538462 1.        ],[0.         0.42307692 1.        ],4
1.5,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],5
1.5,0.2692307692307693,0.6060606060606061,[0.         0.76923077 1.        ],[0.  0.5 1. ],6
1.5,0.2692307692307693,0.7058823529411765,[0.         0.46153846 1.        ],[0.         0.19230769 1.        ],7
1.5,0.07692307692307693,0.5416666666666666,[0.  0.5 1. ],[0.         0.42307692 1.        ],8
1.5,0.1538461538461538,0.5769230769230769,[0.         0.57692308 1.        ],[0.         0.42307692 1.        ],9
2.0,0.34615384615384615,0.7999999999999999,[0.         0.46153846 1.        ],[0.         0.11538462 1.        ],0
2.0,0.23076923076923073,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],1
2.0,0.30769230769230765,0.6818181818181819,[0.         0.57692308 1.        ],[0.         0.26923077 1.        ],2
2.0,0.1923076923076923,0.6470588235294118,[0.         0.42307692 1.        ],[0.         0.23076923 1.        ],3
2.0,0.5,0.9333333333333333,[0.         0.53846154 1.        ],[0.         0.03846154 1.        ],4
2.0,0.23076923076923073,0.625,[0.         0.57692308 1.        ],[0.         0.34615385 1.        ],5
2.0,0.38461538461538464,0.7083333333333333,[0.         0.65384615 1.        ],[0.         0.26923077 1.        ],6
2.0,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],7
2.0,0.15384615384615385,0.625,[0.         0.38461538 1.        ],[0.         0.23076923 1.        ],8
2.0,0.19230769230769224,0.6,[0.         0.57692308 1.        ],[0.         0.38461538 1.        ],9
2.5,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],0
2.5,0.34615384615384615,0.8461538461538461,[0.         0.42307692 1.        ],[0.         0.07692308 1.        ],1
2.5,0.19230769230769224,0.6,[0.         0.57692308 1.        ],[0.         0.38461538 1.        ],2
2.5,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],3
2.5,0.19230769230769235,0.5925925925925926,[0.         0.61538462 1.        ],[0.         0.42307692 1.        ],4
2.5,0.30769230769230765,0.6333333333333333,[0.         0.73076923 1.        ],[0.         0.42307692 1.        ],5
2.5,0.15384615384615385,0.5588235294117647,[0.         0.73076923 1.        ],[0.         0.57692308 1.        ],6
2.5,-0.07692307692307693,0.45454545454545453,[0.         0.38461538 1.        ],[0.         0.46153846 1.        ],7
2.5,0.15384615384615385,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],8
2.5,0.34615384615384615,0.6363636363636365,[0.         0.80769231 1.        ],[0.         0.46153846 1.        ],9
