epsilon,distance,algorithm,dataset
0.1,62.63269646439816,nd-piecewise,seeds-dataset
0.5,24.67124443739256,nd-piecewise,seeds-dataset
0.7,24.533450540427605,nd-piecewise,seeds-dataset
1.0,23.875588540888565,nd-piecewise,seeds-dataset
1.5,23.542288014074014,nd-piecewise,seeds-dataset
2.0,23.2407495988154,nd-piecewise,seeds-dataset
2.5,23.289212961520168,nd-piecewise,seeds-dataset
3.0,23.16523132457204,nd-piecewise,seeds-dataset
3.5,23.19313894625845,nd-piecewise,seeds-dataset
5.0,23.19331257752101,nd-piecewise,seeds-dataset
7.0,23.18738666568163,nd-piecewise,seeds-dataset
9.0,23.17921530410621,nd-piecewise,seeds-dataset
