type,epsilon,ari,ami,ch,sc
KMeans(clusters=4),0.1,0.00021850796689687002,-0.0013175139835153366,25.172380625772483,0.11547385877134111
AffinityPropagation(damping=0.5),0.1,-0.004755238486363362,-0.01585666905560181,14.26611874853754,0.13882262691690989
OPTICS(min_samples=12),0.1,0.0,0.0,0.0,0.0
KMeans(clusters=4),0.5,0.002458039355256681,0.00494752864332309,26.279858009565146,0.12145387832008887
AffinityPropagation(damping=0.5),0.5,-0.007624513877693371,-0.018584352810006918,14.140624749047538,0.11936567045880579
OPTICS(min_samples=12),0.5,0.0,0.0,0.0,0.0
KMeans(clusters=4),0.7,0.020988173149051263,0.020817057324219027,25.8638508615052,0.1184549682147473
AffinityPropagation(damping=0.5),0.7,0.020142474539785075,0.05575371809854855,14.029675335631504,0.11740271496698702
OPTICS(min_samples=12),0.7,0.0,0.0,0.0,0.0
KMeans(clusters=4),1.0,0.014374669742266269,0.01754249414952491,26.591428174653366,0.12477613833395287
AffinityPropagation(damping=0.5),1.0,0.013597758670649957,0.02165217106890238,14.822092013901806,0.13565137568179245
OPTICS(min_samples=12),1.0,0.0,0.0,0.0,0.0
KMeans(clusters=4),1.5,0.1161415667634816,0.12329318046124729,29.309876243886286,0.12903575326692607
AffinityPropagation(damping=0.5),1.5,0.03695313050573868,0.07458784005728587,14.921143461559472,0.1310958668141625
OPTICS(min_samples=12),1.5,0.038523237737851206,0.03173414686942561,6.390137911482397,-0.05698276208859858
KMeans(clusters=4),2.0,0.1803789718542695,0.1899757645558097,32.67863494036658,0.1335361443715396
AffinityPropagation(damping=0.5),2.0,0.0628702535449587,0.12392622071562524,15.897797669678624,0.12551440441109377
OPTICS(min_samples=12),2.0,0.0,0.0,0.0,0.0
KMeans(clusters=4),2.5,0.3633530392240699,0.37552645072518753,56.18268120633023,0.18717930562316365
AffinityPropagation(damping=0.5),2.5,0.14533364236150548,0.26502972284567916,25.36338626575093,0.147521454051402
OPTICS(min_samples=12),2.5,0.0,0.0,0.0,0.0
KMeans(clusters=4),3.0,0.42934087309328745,0.431585497284473,59.51396230062454,0.18701898488265978
AffinityPropagation(damping=0.5),3.0,0.1591242336572914,0.29597504180939327,25.966676037257578,0.13594057052820835
OPTICS(min_samples=12),3.0,-0.0046592082219462875,0.029193023424683155,3.165910593517883,-0.14361477993354238
KMeans(clusters=4),3.5,0.4247119210145714,0.46781735288451004,61.718796403805584,0.17183385175551966
AffinityPropagation(damping=0.5),3.5,0.2180149582901875,0.35320365788369895,31.810170880848528,0.18950903130710423
OPTICS(min_samples=12),3.5,0.0,0.0,0.0,0.0
KMeans(clusters=4),5.0,0.7061953249289377,0.705115767527779,114.08938886232336,0.25193520695341554
AffinityPropagation(damping=0.5),5.0,0.2999407506990773,0.47024310799779145,52.313317367406285,0.20191328289442492
OPTICS(min_samples=12),5.0,0.07156271494649173,0.0055965732501342,1.9778707515061171,0.129255472181174
KMeans(clusters=4),7.0,0.7807807877675355,0.7653271233701743,142.98579883461758,0.2861511603930249
AffinityPropagation(damping=0.5),7.0,0.46028891467160243,0.5980312988643999,67.61100812726349,0.19161222556158827
OPTICS(min_samples=12),7.0,0.4115907138753709,0.3601703803495643,66.94501543136434,0.26916954352832784
KMeans(clusters=4),9.0,0.8173651327421935,0.8250735372052329,179.8096748248104,0.31462423771354925
AffinityPropagation(damping=0.5),9.0,0.6897875896579491,0.7604136334577342,95.41990794329845,0.22785447272836007
OPTICS(min_samples=12),9.0,0.5822515039070073,0.6287238852621023,30.767299738889488,-0.06830753597546005
