,type,epsilon,ari,ami,ch,sc
0,Gaussian,0.05,0.14012607355208104,0.1943775387802879,39.91505356348796,0.411698885234386
1,Gaussian,0.05,0.12240156137432204,0.17368152311389434,39.73771876846739,0.3989504794301362
2,Gaussian,0.05,0.12708763003920184,0.180976243423621,39.6515638317358,0.39186344473558854
3,Gaussian,0.05,0.12983757521381872,0.18481671261111499,39.84870047153386,0.40764190616014295
4,Gaussian,0.1,0.14718439429135677,0.22335403056126535,36.19579735091814,0.37368080767609024
5,Gaussian,0.1,0.14718439429135677,0.22335403056126527,36.19579735091814,0.37368080767609024
6,Gaussian,0.1,0.1515354943204825,0.2329236778946418,36.017650947436174,0.37241030255930513
7,Gaussian,0.1,0.1515354943204825,0.23292367789464183,36.017650947436174,0.37241030255930513
8,Gaussian,0.5,0.28900666136376707,0.395693342578174,39.864056673303836,0.3709578606808033
9,Gaussian,0.5,0.28900666136376707,0.395693342578174,39.86405667330383,0.3709578606808033
10,Gaussian,0.5,0.30631518547713865,0.4088957056413802,39.823841158835606,0.36688320703793176
11,Gaussian,0.5,0.27234308918100336,0.38064039536003735,39.75220587628349,0.37312416760814415
12,Gaussian,1.0,0.6824345595061073,0.7132553492486042,76.19580972075114,0.48739229820229635
13,Gaussian,1.0,0.6755002704164413,0.7094706287541918,76.26051617559004,0.4872412992174454
14,Gaussian,1.0,0.6755002704164413,0.7094706287541918,76.26051617559004,0.4872412992174454
15,Gaussian,1.0,0.6755002704164413,0.7094706287541916,76.26051617559004,0.4872412992174454
16,Gaussian,2.0,0.8505572909927729,0.8594930062191626,81.56887858309389,0.47217129633245697
17,Gaussian,2.0,0.8505572909927729,0.8594930062191624,81.56887858309389,0.47217129633245697
18,Gaussian,2.0,0.8505572909927729,0.8594930062191624,81.56887858309389,0.47217129633245697
19,Gaussian,2.0,0.8505572909927729,0.8594930062191626,81.56887858309389,0.47217129633245697
20,Gaussian,3.0,0.9478589313440459,0.9457222023614642,105.3379680979446,0.5697428624527551
21,Gaussian,3.0,0.9478589313440459,0.9457222023614642,105.33796809794458,0.5697428624527551
22,Gaussian,3.0,0.9478589313440459,0.9457222023614641,105.3379680979446,0.5697428624527551
23,Gaussian,3.0,0.9478589313440459,0.9457222023614644,105.33796809794462,0.5697428624527551
24,Gaussian,5.0,0.9455265030238349,0.9451110751095871,109.05673536692856,0.5769767414191268
25,Gaussian,5.0,0.9455265030238349,0.9451110751095871,109.05673536692859,0.5769767414191268
26,Gaussian,5.0,0.9455265030238349,0.9451110751095871,109.05673536692856,0.5769767414191268
27,Gaussian,5.0,0.923893561299999,0.9271759860356518,108.96112022687407,0.5756823840446101
28,Gaussian,7.0,0.8889168537329674,0.8895512676305071,127.25031985563676,0.6016120639492025
29,Gaussian,7.0,0.9002387835911408,0.9006632291263228,127.0954480289221,0.601160282458177
30,Gaussian,7.0,0.9115607134493144,0.911775190622139,126.94057620220742,0.6007085009671513
31,Gaussian,7.0,0.8889168537329674,0.8895512676305067,127.25031985563677,0.6016120639492025
32,Gaussian,9.0,0.9374557371530173,0.9348626004940537,139.40997797706274,0.6249847880461575
33,Gaussian,9.0,0.9374557371530173,0.9348626004940537,139.40997797706274,0.6249847880461575
34,Gaussian,9.0,0.9478589313440459,0.9457222023614644,139.63646927019514,0.6261061004630405
35,Gaussian,9.0,0.9270525429619884,0.924002998626643,139.1834866839303,0.6238634756292745
36,Laplace,0.05,-0.022494437587044697,-0.03658001717267434,33.677685452453154,0.3532590599560925
37,Laplace,0.05,-0.02341508834921397,-0.03917944156794575,33.39784607833667,0.35445969894323087
38,Laplace,0.05,-0.022492910227835054,-0.037399612793299467,33.552281359185514,0.3489495587260697
39,Laplace,0.05,-0.022186925922054936,-0.03669975884217292,33.58765799858129,0.3508448407967208
