,type,epsilon,ari,ami,ch,sc
0,"KMeans(clusters=4, init=random)",0.05,-0.0016909610004895337,0.017212757248241305,28.984605775046656,0.34627467642015486
1,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,0.03231560483990843,0.06258842783314525,38.241879939157094,0.3513932637257458
2,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",0.05,-0.03980760022635267,-0.059565467467535924,5.102100680059786,0.23714817759365933
3,"KMeans(clusters=4, init=random)",0.1,-0.018552076338332602,-0.038062269691683484,26.98387731526737,0.30264708406128327
4,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,-0.005813013988793242,-0.018052237950186577,37.690003760033065,0.32320228829267345
5,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",0.1,-0.006229858260929188,-0.018140630373445484,6.369688368545098,0.15456136486273528
6,"KMeans(clusters=4, init=random)",0.5,0.008385951490332635,0.006583407038926886,33.36967399759917,0.33524682999787286
7,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,-0.014159115760730862,0.015080244307273564,39.33024114185969,0.3553611833988946
8,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",0.5,0.007290717354511133,0.019870918449169515,2.8279070113369458,0.22949944832526495
9,"KMeans(clusters=4, init=random)",1.0,0.024943296140374854,0.07249584150543575,28.964445627348727,0.36332961765919325
10,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.06107655921513665,0.12318900750837569,44.79548723940279,0.3427657763369378
11,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",1.0,0.004209440460542736,-0.0056787414093709705,1.2011141322520842,0.3663129606964656
12,"KMeans(clusters=4, init=random)",2.0,0.12672386552690418,0.22043312931837433,31.885489129771692,0.3228122730364257
13,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.0814471230731458,0.12114446824449451,46.67654001052575,0.4082979216134451
14,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",2.0,0.023229666512739174,0.05151704988882162,5.134075663217126,0.22429903246664157
15,"KMeans(clusters=4, init=random)",3.0,0.4365002771939827,0.5105032425581705,43.99346697208035,0.39262014199034656
16,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.2450996055615612,0.35383477796710483,44.56511623144363,0.3514243722378073
17,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",3.0,0.141865320192261,0.21575618366055363,7.152081963414145,0.13329881687193024
18,"KMeans(clusters=4, init=random)",5.0,0.5063093446578812,0.5620898302729367,46.1444090684984,0.3978207075889137
19,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.46189553001600797,0.5316265204536454,56.66767574957892,0.4161908497464853
20,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",5.0,0.24256259473674596,0.35940669528696434,4.505042032148166,0.22905857832537593
21,"KMeans(clusters=4, init=random)",7.0,0.8505572909927729,0.8594930062191626,88.69470756747742,0.5351517118455604
22,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.679404608558752,0.7299812273214472,92.78749160380585,0.5053282353925406
23,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",7.0,0.5936662773923198,0.6795827411613526,47.443014723803216,0.44256130028320867
24,"KMeans(clusters=4, init=random)",9.0,0.9456571967246447,0.9450868082106056,88.20800319091575,0.5214955409223034
25,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.8360837535491511,0.8546403315546947,85.7674492916475,0.5113480879427901
26,"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.5)",9.0,0.40951049625219926,0.5103436294054944,16.760929825515586,0.2572401640497328
