,epsilon,shokri_mi_adv,run
0,0.05,0.0,0
1,0.05,0.0,1
2,0.05,0.004,2
3,0.05,0.0,3
4,0.05,0.0,4
5,0.05,0.016,5
6,0.05,0.0,6
7,0.05,0.004,7
8,0.05,0.016,8
9,0.05,0.012,9
10,0.05,0.02,10
11,0.05,0.0,11
12,0.05,0.016,12
13,0.05,0.024,13
14,0.05,-0.004,14
15,0.05,0.028,15
16,0.05,0.0,16
17,0.05,0.016,17
18,0.05,0.0,18
19,0.05,0.012,19
20,0.1,0.012,0
21,0.1,0.0,1
22,0.1,0.02,2
23,0.1,0.036,3
24,0.1,0.016,4
25,0.1,0.0,5
26,0.1,0.004,6
27,0.1,0.008,7
28,0.1,0.028,8
29,0.1,0.024,9
30,0.1,0.028,10
31,0.1,0.027999999999999997,11
32,0.1,-0.02,12
33,0.1,0.004,13
34,0.1,0.036,14
35,0.1,0.016,15
36,0.1,0.04,16
37,0.1,0.008,17
38,0.1,0.0,18
39,0.1,-0.011999999999999997,19
40,0.5,0.04400000000000001,0
41,0.5,0.07999999999999999,1
42,0.5,0.11599999999999999,2
43,0.5,0.092,3
44,0.5,0.136,4
45,0.5,0.11599999999999999,5
46,0.5,0.08000000000000002,6
47,0.5,0.05999999999999997,7
48,0.5,0.14,8
49,0.5,0.23199999999999998,9
50,0.5,-0.1,10
51,0.5,0.20800000000000002,11
52,0.5,0.05200000000000002,12
53,0.5,0.13599999999999998,13
54,0.5,0.192,14
55,0.5,0.01200000000000001,15
56,0.5,0.25999999999999995,16
57,0.5,0.17200000000000001,17
58,0.5,0.15200000000000002,18
59,0.5,0.184,19
60,1.0,0.07999999999999996,0
61,1.0,0.11599999999999996,1
62,1.0,0.03199999999999997,2
63,1.0,0.10800000000000004,3
64,1.0,0.16000000000000003,4
65,1.0,0.09599999999999997,5
66,1.0,0.132,6
67,1.0,0.10799999999999998,7
68,1.0,0.19999999999999998,8
69,1.0,0.26,9
70,1.0,0.09600000000000003,10
71,1.0,0.14399999999999996,11
72,1.0,0.09199999999999997,12
73,1.0,0.10399999999999998,13
74,1.0,0.10400000000000004,14
75,1.0,0.08800000000000002,15
76,1.0,0.14,16
77,1.0,0.26,17
78,1.0,0.07200000000000001,18
79,1.0,0.08000000000000002,19
80,2.0,0.124,0
81,2.0,0.2,1
82,2.0,-0.020000000000000018,2
83,2.0,0.184,3
84,2.0,0.08800000000000002,4
85,2.0,0.132,5
86,2.0,0.07600000000000001,6
87,2.0,0.124,7
88,2.0,0.29200000000000004,8
89,2.0,0.043999999999999984,9
90,2.0,0.09599999999999997,10
91,2.0,0.10399999999999998,11
92,2.0,0.08000000000000002,12
93,2.0,0.16399999999999998,13
94,2.0,-0.02400000000000002,14
95,2.0,0.12,15
96,2.0,0.06799999999999995,16
97,2.0,0.16400000000000003,17
98,2.0,0.07599999999999996,18
99,2.0,0.136,19
100,3.0,0.07200000000000001,0
101,3.0,0.10800000000000004,1
102,3.0,0.05999999999999994,2
103,3.0,0.10800000000000004,3
104,3.0,0.16400000000000003,4
105,3.0,0.124,5
106,3.0,0.11200000000000004,6
107,3.0,0.06,7
108,3.0,0.06400000000000006,8
109,3.0,0.15999999999999998,9
110,3.0,0.04800000000000004,10
111,3.0,0.051999999999999935,11
112,3.0,0.15199999999999997,12
113,3.0,0.07999999999999996,13
114,3.0,0.20400000000000001,14
115,3.0,0.14,15
116,3.0,0.184,16
117,3.0,0.19200000000000006,17
118,3.0,0.14000000000000007,18
119,3.0,0.09600000000000003,19
120,5.0,0.13599999999999995,0
121,5.0,0.06800000000000006,1
122,5.0,0.15599999999999997,2
123,5.0,0.09200000000000003,3
124,5.0,0.14800000000000002,4
125,5.0,0.07600000000000001,5
126,5.0,0.15200000000000002,6
127,5.0,0.06800000000000006,7
128,5.0,0.128,8
129,5.0,0.19599999999999995,9
130,5.0,0.12,10
131,5.0,0.11599999999999994,11
132,5.0,0.04400000000000004,12
133,5.0,0.11599999999999999,13
134,5.0,0.12800000000000006,14
135,5.0,0.19999999999999996,15
136,5.0,0.17999999999999994,16
137,5.0,0.18,17
138,5.0,0.13599999999999995,18
139,5.0,0.08400000000000002,19
140,7.0,0.128,0
141,7.0,0.07600000000000001,1
142,7.0,0.08800000000000002,2
143,7.0,0.03600000000000003,3
144,7.0,0.14399999999999996,4
145,7.0,0.09199999999999997,5
146,7.0,0.13200000000000006,6
147,7.0,0.22399999999999998,7
148,7.0,0.21999999999999997,8
149,7.0,0.09600000000000003,9
150,7.0,0.21600000000000003,10
151,7.0,0.07999999999999996,11
152,7.0,0.124,12
153,7.0,0.20400000000000001,13
154,7.0,0.19999999999999996,14
155,7.0,0.08399999999999996,15
156,7.0,0.14800000000000002,16
157,7.0,0.18399999999999994,17
158,7.0,0.16799999999999993,18
159,7.0,0.09599999999999997,19
160,9.0,0.07200000000000001,0
161,9.0,0.16799999999999998,1
162,9.0,0.136,2
163,9.0,0.10400000000000009,3
164,9.0,0.196,4
165,9.0,0.11199999999999993,5
166,9.0,0.17599999999999993,6
167,9.0,0.15600000000000003,7
168,9.0,0.19200000000000006,8
169,9.0,0.19200000000000006,9
170,9.0,0.09599999999999997,10
171,9.0,0.10799999999999998,11
172,9.0,0.08000000000000002,12
173,9.0,0.14799999999999996,13
174,9.0,0.1319999999999999,14
175,9.0,0.09200000000000008,15
176,9.0,0.09200000000000003,16
177,9.0,0.11599999999999999,17
178,9.0,0.132,18
179,9.0,0.016000000000000014,19
