,type,epsilon,ari,ami,ch,sc
0,"KMeans(clusters=4, init=random)",0.05,0.011157844059911649,0.012991914876842505,122.13453041983246,0.49904401076929694
1,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,0.007397798886347331,0.01249343519968097,69.73069098466867,0.4541446724918652
2,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",0.05,0.011707674710084087,0.0169558989066921,140.14233940487765,0.6148771828916731
3,"KMeans(clusters=4, init=random)",0.1,0.027165080799717356,0.028519500514208367,114.30060647728881,0.4228914477941399
4,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.03758396609681368,0.05032389941636521,60.33336565978251,0.3497753001688231
5,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",0.1,0.013503943500742136,0.02379633132921715,62.72455625721575,0.2813611429103698
6,"KMeans(clusters=4, init=random)",0.5,0.2660683213739985,0.2974857137144468,99.68704828268122,0.3330846036488289
7,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.1638030158239052,0.31948135310934955,104.0783697331344,0.3376456739893596
8,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",0.5,0.08076865306249843,0.17613800530754448,26.88619022082911,0.027097368144263452
9,"KMeans(clusters=4, init=random)",1.0,0.655994588740144,0.6595866560989918,162.28710184708342,0.41674349943329403
10,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.32818671031742175,0.5145777756768741,127.84232004969938,0.3079979351514534
11,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",1.0,0.28294743516328136,0.399565614610974,39.060262375619864,0.2133476360722873
12,"KMeans(clusters=4, init=random)",2.0,0.898334891802846,0.8893516153491163,297.35603638137815,0.5363249572810813
13,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.5405323795138123,0.6942197874622152,221.52450547923777,0.30300404395451574
14,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",2.0,0.6422510498763161,0.7433645098507506,97.12794823781175,0.41515507696276066
15,"KMeans(clusters=4, init=random)",3.0,0.9734739568173101,0.9690513145737437,456.1890208961513,0.6151009949924402
16,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.6754836705573958,0.803681160698148,352.5123658795661,0.3501120104078831
17,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",3.0,0.6702684744918087,0.793557911649885,130.2827965809831,0.45869365659994266
18,"KMeans(clusters=4, init=random)",5.0,1.0,1.0,574.6339454871941,0.6582353280140814
19,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.6172414122621276,0.7853583678345444,479.07537929655984,0.3685629109290339
20,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",5.0,0.9798983313676672,0.9730991376243356,446.37003692253836,0.6009101586617319
21,"KMeans(clusters=4, init=random)",7.0,0.9865988799409019,0.9819843677769391,716.0462525906222,0.689220655165845
22,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.6324132162961911,0.7964048005852504,573.1234234631994,0.3706322103376553
23,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",7.0,0.9933442590053178,0.991045553177935,539.2795404001529,0.625170090553832
24,"KMeans(clusters=4, init=random)",9.0,1.0,1.0,786.434947319801,0.6999252796897608
25,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.8619116673727738,0.8885709721242987,641.8537290133927,0.5327405198837456
26,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",9.0,0.7111756168359943,0.8553184449485286,241.8928404489762,0.5504611827987308
