,type,epsilon,ari,ami,ch,sc
0,"KMeans(clusters=4, init=random)",0.05,0.0002819479719539253,0.00637723990118855,58.64862535554928,0.23708604390052074
1,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,-0.0018462484228041135,0.004599684190845381,54.813770325916565,0.2563666592870541
2,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",0.05,0.00033934567527530416,0.0002404467036005599,1.939921528802141,0.16971937446297147
3,"KMeans(clusters=4, init=random)",0.1,0.006887969301935066,0.007489703372840164,58.534710134596935,0.25928259535212034
4,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.0033467417613190576,0.012243037189395622,54.55148481217579,0.2662266525743874
5,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",0.1,0.0014590611906933697,0.0018050944906232373,0.4189261955680282,0.21101833405763887
6,"KMeans(clusters=4, init=random)",0.5,0.3080843436459018,0.319808015082923,68.37559218027393,0.26329353638930486
7,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.1221650898091015,0.26001242578915595,64.61721793647565,0.28549450784636565
8,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",0.5,0.014730053731698342,0.017532290337313353,3.0963123360459894,0.15988643759759835
9,"KMeans(clusters=4, init=random)",1.0,0.7370901828246937,0.7177175330800242,138.26085227012155,0.38008158063327224
10,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.2815358264844082,0.5057996696654704,90.3916891510282,0.26596800651581376
11,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",1.0,0.0012737292108013563,0.002216132295775968,1.6517525529736925,0.1940562078767281
12,"KMeans(clusters=4, init=random)",2.0,0.8842948510885715,0.8690990542856657,277.6818471576189,0.5090830843006434
13,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.5173085886026285,0.6812336305419461,211.7735512951885,0.29545767523927713
14,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",2.0,0.31578237713207036,0.4947992072334773,69.31181944636147,0.30694933313678485
15,"KMeans(clusters=4, init=random)",3.0,0.9734739568173101,0.9690513145737437,382.4247170809076,0.5812818562112005
16,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.7203649731415342,0.8069987751244885,321.85687683272147,0.39308365514007176
17,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",3.0,0.6794914118223743,0.8156189072103743,126.06057095951671,0.4674864965641297
18,"KMeans(clusters=4, init=random)",5.0,1.0,1.0,603.3765800312392,0.6603041543604516
19,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.7105970064809377,0.8207036619403112,496.32937722518074,0.44188519990941694
20,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",5.0,1.0,1.0,603.3765800312392,0.6603041543604516
21,"KMeans(clusters=4, init=random)",7.0,0.9865988799409019,0.9819843677769388,750.1820946861226,0.6919184115846398
22,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.6157929318534129,0.7932060226962018,586.4621826784489,0.3521591010999812
23,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",7.0,0.9865988799409019,0.9819843677769388,750.1820946861227,0.6919184115846398
24,"KMeans(clusters=4, init=random)",9.0,1.0,1.0,785.71914897217,0.7023675532202425
25,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.7756838539511502,0.8542569778771906,585.5956994982545,0.4306535321821977
26,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.6)",9.0,1.0,1.0,785.71914897217,0.7023675532202425
