epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
9,0.24799999999999994,0.6099290780141844,[0.    0.688 1.   ],[0.   0.44 1.  ],0
9,0.25599999999999995,0.6142857142857143,[0.    0.688 1.   ],[0.    0.432 1.   ],1
9,0.24,0.5974025974025974,[0.    0.736 1.   ],[0.    0.496 1.   ],2
9,0.176,0.5797101449275361,[0.   0.64 1.  ],[0.    0.464 1.   ],3
9,0.07200000000000006,0.5343511450381679,[0.   0.56 1.  ],[0.    0.488 1.   ],4
9,0.21600000000000003,0.6015037593984962,[0.   0.64 1.  ],[0.    0.424 1.   ],5
9,0.21600000000000003,0.6336633663366337,[0.    0.512 1.   ],[0.    0.296 1.   ],6
9,0.11999999999999994,0.5581395348837209,[0.    0.576 1.   ],[0.    0.456 1.   ],7
9,0.11199999999999999,0.5499999999999999,[0.    0.616 1.   ],[0.    0.504 1.   ],8
9,0.10399999999999998,0.5430463576158939,[0.    0.656 1.   ],[0.    0.552 1.   ],9
