age,fnlwgt,capital-gain,class
39,77516,2174, <=50K
50,83311,0, <=50K
38,215646,0, <=50K
53,234721,0, <=50K
28,338409,0, <=50K
37,284582,0, <=50K
49,160187,0, <=50K
52,209642,0, >50K
31,45781,14084, >50K
42,159449,5178, >50K
37,280464,0, >50K
30,141297,0, >50K
23,122272,0, <=50K
32,205019,0, <=50K
40,121772,0, >50K
34,245487,0, <=50K
25,176756,0, <=50K
32,186824,0, <=50K
38,28887,0, <=50K
43,292175,0, >50K
40,193524,0, >50K
54,302146,0, <=50K
35,76845,0, <=50K
43,117037,0, <=50K
59,109015,0, <=50K
56,216851,0, >50K
19,168294,0, <=50K
54,180211,0, >50K
39,367260,0, <=50K
49,193366,0, <=50K
23,190709,0, <=50K
20,266015,0, <=50K
45,386940,0, <=50K
30,59951,0, <=50K
22,311512,0, <=50K
48,242406,0, <=50K
21,197200,0, <=50K
19,544091,0, <=50K
31,84154,0, >50K
48,265477,0, <=50K
31,507875,0, <=50K
53,88506,0, <=50K
24,172987,0, <=50K
49,94638,0, <=50K
25,289980,0, <=50K
57,337895,0, >50K
53,144361,0, <=50K
44,128354,0, <=50K
41,101603,0, <=50K
29,271466,0, <=50K
25,32275,0, <=50K
18,226956,0, <=50K
47,51835,0, >50K
50,251585,0, >50K
47,109832,0, <=50K
43,237993,0, >50K
46,216666,0, <=50K
35,56352,0, <=50K
41,147372,0, <=50K
30,188146,5013, <=50K
30,59496,2407, <=50K
32,293936,0, <=50K
48,149640,0, <=50K
42,116632,0, >50K
29,105598,0, <=50K
36,155537,0, <=50K
28,183175,0, <=50K
53,169846,0, >50K
49,191681,0, >50K
25,200681,0, <=50K
19,101509,0, <=50K
31,309974,0, <=50K
29,162298,0, >50K
23,211678,0, <=50K
79,124744,0, <=50K
27,213921,0, <=50K
40,32214,0, <=50K
67,212759,0, <=50K
18,309634,0, <=50K
31,125927,0, <=50K
18,446839,0, <=50K
52,276515,0, <=50K
46,51618,0, <=50K
59,159937,0, <=50K
44,343591,14344, >50K
53,346253,0, <=50K
49,268234,0, >50K
33,202051,0, <=50K
30,54334,0, <=50K
43,410867,0, >50K
57,249977,0, <=50K
37,286730,0, <=50K
28,212563,0, <=50K
30,117747,0, <=50K
34,226296,0, >50K
29,115585,0, <=50K
48,191277,0, >50K
37,202683,0, >50K
48,171095,0, <=50K
32,249409,0, <=50K
76,124191,0, >50K
44,198282,15024, >50K
47,149116,0, <=50K
20,188300,0, <=50K
29,103432,0, <=50K
32,317660,7688, >50K
17,304873,34095, <=50K
30,194901,0, <=50K
31,189265,0, <=50K
42,124692,0, <=50K
24,432376,0, <=50K
38,65324,0, >50K
56,335605,0, >50K
28,377869,4064, <=50K
36,102864,0, <=50K
53,95647,0, <=50K
56,303090,0, <=50K
49,197371,0, >50K
55,247552,0, <=50K
22,102632,0, <=50K
21,199915,0, <=50K
40,118853,0, <=50K
30,77143,0, <=50K
29,267989,0, >50K
