,area,perimeter,length of kernel,class
0,15.26,14.84,5.763,0
1,14.88,14.57,5.554,0
2,14.29,14.09,5.291,0
3,13.84,13.94,5.324,0
4,16.14,14.99,5.658,0
5,14.38,14.21,5.386,0
6,14.69,14.49,5.563,0
7,14.11,14.1,5.42,0
8,16.63,15.46,6.053,0
9,16.44,15.25,5.884,0
10,15.26,14.85,5.714,0
11,14.03,14.16,5.438,0
12,13.89,14.02,5.439,0
13,13.78,14.06,5.479,0
14,13.74,14.05,5.482,0
15,14.59,14.28,5.351,0
16,13.99,13.83,5.119,0
17,15.69,14.75,5.527,0
18,14.7,14.21,5.205,0
19,12.72,13.57,5.226,0
20,14.16,14.4,5.658,0
21,14.11,14.26,5.52,0
22,15.88,14.9,5.618,0
23,12.08,13.23,5.099,0
24,15.01,14.76,5.789,0
25,16.19,15.16,5.833,0
26,13.02,13.76,5.395,0
27,12.74,13.67,5.395,0
28,14.11,14.18,5.541,0
29,13.45,14.02,5.516,0
30,13.16,13.82,5.454,0
31,15.49,14.94,5.757,0
32,14.09,14.41,5.717,0
33,13.94,14.17,5.585,0
34,15.05,14.68,5.712,0
35,16.12,15.0,5.709,0
36,16.2,15.27,5.826,0
37,17.08,15.38,5.832,0
38,14.8,14.52,5.656,0
39,14.28,14.17,5.397,0
40,13.54,13.85,5.348,0
41,13.5,13.85,5.351,0
42,13.16,13.55,5.138,0
43,15.5,14.86,5.877,0
44,15.11,14.54,5.579,0
45,13.8,14.04,5.376,0
46,15.36,14.76,5.701,0
47,14.99,14.56,5.57,0
48,14.79,14.52,5.545,0
49,14.86,14.67,5.678,0
50,14.43,14.4,5.585,0
51,15.78,14.91,5.674,0
52,14.49,14.61,5.715,0
53,14.33,14.28,5.504,0
54,14.52,14.6,5.741,0
55,15.03,14.77,5.702,0
56,14.46,14.35,5.388,0
57,14.92,14.43,5.384,0
58,15.38,14.77,5.662,0
59,12.11,13.47,5.159,0
60,11.42,12.86,5.008,0
61,11.23,12.63,4.902,0
62,12.36,13.19,5.076,0
63,13.22,13.84,5.395,0
64,12.78,13.57,5.262,0
65,12.88,13.5,5.139,0
66,14.34,14.37,5.63,0
67,14.01,14.29,5.609,0
68,14.37,14.39,5.569,0
69,12.73,13.75,5.412,0
70,17.63,15.98,6.191,1
71,16.84,15.67,5.998,1
72,17.26,15.73,5.978,1
73,19.11,16.26,6.154,1
74,16.82,15.51,6.017,1
75,16.77,15.62,5.927,1
76,17.32,15.91,6.064,1
77,20.71,17.23,6.579,1
78,18.94,16.49,6.445,1
79,17.12,15.55,5.85,1
80,16.53,15.34,5.875,1
81,18.72,16.19,6.006,1
82,20.2,16.89,6.285,1
83,19.57,16.74,6.384,1
84,19.51,16.71,6.366,1
85,18.27,16.09,6.173,1
86,18.88,16.26,6.084,1
87,18.98,16.66,6.549,1
88,21.18,17.21,6.573,1
89,20.88,17.05,6.45,1
90,20.1,16.99,6.581,1
91,18.76,16.2,6.172,1
92,18.81,16.29,6.272,1
93,18.59,16.05,6.037,1
94,18.36,16.52,6.666,1
95,16.87,15.65,6.139,1
96,19.31,16.59,6.341,1
97,18.98,16.57,6.449,1
98,18.17,16.26,6.271,1
99,18.72,16.34,6.219,1
100,16.41,15.25,5.718,1
101,17.99,15.86,5.89,1
102,19.46,16.5,6.113,1
103,19.18,16.63,6.369,1
104,18.95,16.42,6.248,1
105,18.83,16.29,6.037,1
106,18.85,16.17,6.152,1
107,17.63,15.86,6.033,1
108,19.94,16.92,6.675,1
109,18.55,16.22,6.153,1
110,18.45,16.12,6.107,1
111,19.38,16.72,6.303,1
112,19.13,16.31,6.183,1
113,19.14,16.61,6.259,1
114,20.97,17.25,6.563,1
115,19.06,16.45,6.416,1
116,18.96,16.2,6.051,1
117,19.15,16.45,6.245,1
118,18.89,16.23,6.227,1
119,20.03,16.9,6.493,1
120,20.24,16.91,6.315,1
121,18.14,16.12,6.059,1
122,16.17,15.38,5.762,1
123,18.43,15.97,5.98,1
124,15.99,14.89,5.363,1
125,18.75,16.18,6.111,1
126,18.65,16.41,6.285,1
127,17.98,15.85,5.979,1
128,20.16,17.03,6.513,1
129,17.55,15.66,5.791,1
130,18.3,15.89,5.979,1
131,18.94,16.32,6.144,1
132,15.38,14.9,5.884,1
133,16.16,15.33,5.845,1
134,15.56,14.89,5.776,1
135,15.38,14.66,5.477,1
136,17.36,15.76,6.145,1
137,15.57,15.15,5.92,1
138,15.6,15.11,5.832,1
139,16.23,15.18,5.872,1
140,13.07,13.92,5.472,2
141,13.32,13.94,5.541,2
142,13.34,13.95,5.389,2
143,12.22,13.32,5.224,2
144,11.82,13.4,5.314,2
145,11.21,13.13,5.279,2
146,11.43,13.13,5.176,2
147,12.49,13.46,5.267,2
148,12.7,13.71,5.386,2
149,10.79,12.93,5.317,2
150,11.83,13.23,5.263,2
151,12.01,13.52,5.405,2
152,12.26,13.6,5.408,2
153,11.18,13.04,5.22,2
154,11.36,13.05,5.175,2
155,11.19,13.05,5.25,2
156,11.34,12.87,5.053,2
157,12.13,13.73,5.394,2
158,11.75,13.52,5.444,2
159,11.49,13.22,5.304,2
160,12.54,13.67,5.451,2
161,12.02,13.33,5.35,2
162,12.05,13.41,5.267,2
163,12.55,13.57,5.333,2
164,11.14,12.79,5.011,2
165,12.1,13.15,5.105,2
166,12.44,13.59,5.319,2
167,12.15,13.45,5.417,2
168,11.35,13.12,5.176,2
169,11.24,13.0,5.09,2
170,11.02,13.0,5.325,2
171,11.55,13.1,5.167,2
172,11.27,12.97,5.088,2
173,11.4,13.08,5.136,2
174,10.83,12.96,5.278,2
175,10.8,12.57,4.981,2
176,11.26,13.01,5.186,2
177,10.74,12.73,5.145,2
178,11.48,13.05,5.18,2
179,12.21,13.47,5.357,2
180,11.41,12.95,5.09,2
181,12.46,13.41,5.236,2
182,12.19,13.36,5.24,2
183,11.65,13.07,5.108,2
184,12.89,13.77,5.495,2
185,11.56,13.31,5.363,2
186,11.81,13.45,5.413,2
187,10.91,12.8,5.088,2
188,11.23,12.82,5.089,2
189,10.59,12.41,4.899,2
190,10.93,12.8,5.046,2
191,11.27,12.86,5.091,2
192,11.87,13.02,5.132,2
193,10.82,12.83,5.18,2
194,12.11,13.27,5.236,2
195,12.8,13.47,5.16,2
196,12.79,13.53,5.224,2
197,13.37,13.78,5.32,2
198,12.62,13.67,5.41,2
199,12.76,13.38,5.073,2
200,12.38,13.44,5.219,2
201,12.67,13.32,4.984,2
202,11.18,12.72,5.009,2
203,12.7,13.41,5.183,2
204,12.37,13.47,5.204,2
205,12.19,13.2,5.137,2
206,11.23,12.88,5.14,2
207,13.2,13.66,5.236,2
208,11.84,13.21,5.175,2
209,12.3,13.34,5.243,2
